OBST ID;TYPE;COORD;LAT;LONG;HGT AGL (FT);ELEV MSL (FT);LGT COLOR;LGT TYPE;LGT INTST;LGT HR;MARKINGS;Area of coverage;Identification of the data originator;Data source identifier;Horizontal accuracy (m);Horizontal confidence level (%);Horizontal resolution (m);Horizontal extent;Horizontal reference system;Vertical accuracy (m);Vertical confidence level (%);Vertical resolution (m);Vertical reference system;Geometry type;Unit of measurement;Integrity;Date and time stamp
EFINOB 29440;Wind turbine;652838.984N 252155.831E;65.477495684;25.365508708;640;683;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 29441;Wind turbine;652832.252N 252237.939E;65.47562569;25.377205366;640;694;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 29442;Wind turbine;652837.539N 252323.932E;65.477094181;25.389980974;640;722;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 29443;Wind turbine;652923.689N 252225.932E;65.489913713;25.373870136;640;704;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 29444;Wind turbine;652841.089N 252423.841E;65.478080312;25.406622625;640;728;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 29445;Wind turbine;652909.125N 252404.697E;65.485868136;25.401304586;640;728;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 29452;Crane;613004.93N 233658.71E;61.501369567102;23.6163082696178;378;805;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;1.6.2012 0.00.00 +00:00
EFINOB 29483;Wind turbine;653917.662N 250018.26E;65.654906106;25.005072279;640;672;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.8.2011 0.00.00 +00:00
EFINOB 29484;Wind turbine;653928.872N 250054.903E;65.658020129;25.015250933;640;680;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.8.2011 0.00.00 +00:00
EFINOB 29485;Wind turbine;653935.05N 250011.244E;65.659736182;25.003123444;640;672;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.8.2011 0.00.00 +00:00
EFINOB 29486;Wind turbine;653647.546N 250530.965E;65.613207154;25.091934828;640;683;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.8.2011 0.00.00 +00:00
EFINOB 29487;Wind turbine;653646.897N 250618.885E;65.613026808;25.1052459;640;696;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.8.2011 0.00.00 +00:00
EFINOB 29488;Wind turbine;653646.329N 250702.858E;65.612869082;25.117460507;640;696;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.8.2011 0.00.00 +00:00
EFINOB 29741;Wind turbine;641336.156N 234237.091E;64.226709905;23.710303104;545;556;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;2.10.2023 10.03.01 +00:00
EFINOB 29760;Wind turbine;603304.224N 270446.713E;60.5511733;27.079642525;493;508;R;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;29.11.2011 0.00.00 +00:00
EFINOB 29761;Wind turbine;603254.162N 270444.426E;60.548378449;27.079007165;493;501;R;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;29.11.2011 0.00.00 +00:00
EFINOB 29762;Wind turbine;603243.268N 270454.199E;60.545352203;27.081722078;493;505;R;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;29.11.2011 0.00.00 +00:00
EFINOB 29786;Wind turbine;611302.143N 224644.612E;61.217261896;22.77905878;411;706;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;19.3.2012 0.00.00 +00:00
EFINOB 29787;Wind turbine;611257.06N 224644.089E;61.215850086;22.778913615;411;703;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;19.3.2012 0.00.00 +00:00
EFINOB 29946;Wind turbine;641949.808N 242304.37E;64.330502286;24.384547354;624;821;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;25.5.2012 0.00.00 +00:00
EFINOB 29947;Wind turbine;642015.775N 242256.198E;64.33771517;24.382277174;624;822;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;25.5.2012 0.00.00 +00:00
EFINOB 29949;Wind turbine;642003.264N 242349.267E;64.3342401;24.397018689;624;820;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;25.5.2012 0.00.00 +00:00
EFINOB 29951;Wind turbine;642030.671N 242326.384E;64.34185305555555;24.390662222222222;624;817;W;FLG;LIH;H24;Y;NIL;NIL;Traficom;50;90;5;NIL;NIL;30;90;1;NIL;POINT;ft/m;Routine;25.5.2012 0.00.00 +00:00
EFINOB 30103;Mast;610004.241N 283920.984E;61.001177998;28.655828981;427;762;R;FLG;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;13.1.2012 0.00.00 +00:00
EFINOB 30315;Wind turbine;602546.938N 265309.634E;60.429705091;26.886009341;476;496;R;FLG;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;24.7.2013 0.00.00 +00:00
EFINOB 30318;Mast;621031.522N 213743.5E;62.175422739;21.628749925;394;554;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;16.9.2011 0.00.00 +00:00
EFINOB 30455;Chimney;611551.813N 240116.29E;61.264392522;24.021191678;406;677;R;FLG;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;10.8.2011 0.00.00 +00:00
EFINOB 30461;Wind turbine;660908.136N 245241.756E;66.152259871;24.878265444;657;885;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 30462;Wind turbine;660844.58N 245246.821E;66.145716582;24.879672554;657;900;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 30463;Wind turbine;660843.686N 245209.158E;66.145468196;24.869210631;657;898;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 30464;Wind turbine;660859.078N 245115.854E;66.149743771;24.854403813;657;888;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 30465;Wind turbine;660854.715N 245457.534E;66.1485320423951;24.915981793961;657;838;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;13.3.2019 0.00.00 +00:00
EFINOB 30466;Wind turbine;660830.429N 245351.543E;66.1417857327944;24.8976508441195;657;893;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;13.3.2019 0.00.00 +00:00
EFINOB 30467;Wind turbine;660812.82N 245357.194E;66.136894488;24.89922045;657;886;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 30468;Wind turbine;660827.552N 245426.713E;66.140986696;24.90742022;657;877;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 30469;Wind turbine;660744.636N 245122.457E;66.129065577;24.85623796;657;842;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 30470;Wind turbine;660755.538N 245158.266E;66.132093768;24.866185063;657;853;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;27.6.2012 0.00.00 +00:00
EFINOB 30553;Mast;603000.617N 274242.974E;60.500171277;27.711937282;427;531;R;FLG;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;16.1.2013 0.00.00 +00:00
EFINOB 30575;Wind turbine;615828.673N 221708.571E;61.974631392;22.285714163;657;1038;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;11.1.2013 0.00.00 +00:00
EFINOB 30578;Wind turbine;615826.462N 221743.204E;61.974017349;22.295334384;657;1040;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;11.1.2013 0.00.00 +00:00
EFINOB 30579;Wind turbine;615814.58N 221802.075E;61.970716582;22.300576485;657;1040;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;11.1.2013 0.00.00 +00:00
EFINOB 30580;Wind turbine;615809.612N 221726.947E;61.969336568;22.290818544;657;1048;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;11.1.2013 0.00.00 +00:00
EFINOB 30581;Wind turbine;615758.228N 221824.993E;61.966174463;22.306942431;657;1030;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;11.1.2013 0.00.00 +00:00
EFINOB 30582;Wind turbine;615749.586N 221709.688E;61.963773988;22.286024543;657;1015;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;11.1.2013 0.00.00 +00:00
EFINOB 30583;Wind turbine;615749.703N 221746.11E;61.963806348;22.296141683;657;1027;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;11.1.2013 0.00.00 +00:00
EFINOB 30584;Wind turbine;615740.68N 221833.375E;61.961299962;22.309270835;657;1034;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;11.1.2013 0.00.00 +00:00
EFINOB 30585;Wind turbine;615732.567N 221757.806E;61.959046387;22.299390655;657;1013;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;11.1.2013 0.00.00 +00:00
EFINOB 30601;Mast;631303.198N 213428.196E;63.2175550655041;21.5744989130288;394;428;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;7.2.2012 0.00.00 +00:00
EFINOB 30637;Mast;614556.5N 213342.364E;61.7656945550167;21.5617679151692;329;363;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;14.2.2012 0.00.00 +00:00
EFINOB 30643;Chimney;602648.669N 220520.796E;60.4468524823329;22.0891098992854;331;351;Unknown;NIL;NIL;NIL;N;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;28.10.2011 0.00.00 +00:00
EFINOB 30687;Wind turbine;603239.355N 270435.749E;60.544265382;27.076596892;493;519;R;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;29.11.2011 0.00.00 +00:00
EFINOB 30696;Wind turbine;645544.176N 250529.052E;64.9289378369118;25.0914034064319;411;422;R;FLG;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;17.6.2014 0.00.00 +00:00
EFINOB 30705;Wind turbine;602535.33N 265304.543E;60.426480417;26.884595408;558;566;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;24.7.2013 0.00.00 +00:00
EFINOB 30720;Wind turbine;610624.394N 282345.864E;61.106776215;28.396073238;489;845;R;FLG;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;17.1.2013 0.00.00 +00:00
EFINOB 30721;Wind turbine;610610.259N 282350.306E;61.10284962;28.397307125;488;833;R;FLG;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;17.1.2013 0.00.00 +00:00
EFINOB 30722;Wind turbine;610530.644N 282255.577E;61.091845454;28.382104819;505;842;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;17.1.2013 0.00.00 +00:00
EFINOB 30723;Wind turbine;610537.66N 282329.573E;61.093794377;28.391548056;503;839;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;17.1.2013 0.00.00 +00:00
EFINOB 30724;Wind turbine;610542.906N 282354.638E;61.095251637;28.398510686;497;842;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;17.1.2013 0.00.00 +00:00
EFINOB 30725;Wind turbine;610551.391N 282427.525E;61.097608649;28.407645845;497;842;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;17.1.2013 0.00.00 +00:00
EFINOB 30726;Wind turbine;610600.914N 282502.992E;61.1002538;28.417497786;497;840;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;17.1.2013 0.00.00 +00:00
EFINOB 30779;Chimney;601845.966N 253133.822E;60.3127683834818;25.5260617217431;345;390;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;22.12.2011 0.00.00 +00:00
EFINOB 30780;Chimney;601844.494N 253130.797E;60.312359369563;25.5252212628148;345;390;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;22.12.2011 0.00.00 +00:00
EFINOB 30781;Chimney;601846.625N 253121.323E;60.3129514882898;25.5225898345182;345;390;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;22.12.2011 0.00.00 +00:00
EFINOB 30783;Chimney;601829.941N 253126.968E;60.3083168059909;25.5241577766222;345;398;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;22.12.2011 0.00.00 +00:00
EFINOB 30832;Mast;621006.236N 214430.458E;62.168398902;21.741793861;394;677;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;8.8.2012 0.00.00 +00:00
EFINOB 30999;Mast;602350.594N 224936.209E;60.397387361;22.826724847;329;564;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;8.8.2012 0.00.00 +00:00
EFINOB 31037;Mast;645243.104N 285546.463E;64.878640027;28.929573036;342;1037;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;17.10.2013 0.00.00 +00:00
EFINOB 31042;Mast;643420.717N 265250.328E;64.572421296;26.880646804;437;916;R;FLG;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;4.6.2012 0.00.00 +00:00
EFINOB 31049;Mast;635742.246N 294116.424E;63.961735103;29.687895659;338;1167;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;1.6.2012 0.00.00 +00:00
EFINOB 31109;Mast;624244.1N 251458.74E;62.712249868;25.249649978;381;993;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;23.11.2012 0.00.00 +00:00
EFINOB 31222;Mast;613536.196N 254259.621E;61.593387644;25.716561257;338;717;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;24.10.2012 0.00.00 +00:00
EFINOB 31223;Mast;613103.592N 254217.029E;61.517664338;25.704730186;342;680;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;24.10.2012 0.00.00 +00:00
EFINOB 31273;Wind turbine;643751.802N 242333.592E;64.63105606;24.392664341;398;412;Unknown;NIL;NIL;NIL;N;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;2.4.2012 0.00.00 +00:00
EFINOB 31274;Wind turbine;643741.24N 242343.845E;64.628122095;24.395512475;398;412;Unknown;NIL;NIL;NIL;N;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;2.4.2012 0.00.00 +00:00
EFINOB 31275;Wind turbine;643755.719N 242306.5E;64.6321442007452;24.3851390227118;398;404;Unknown;NIL;NIL;NIL;N;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;2.4.2012 0.00.00 +00:00
EFINOB 31276;Wind turbine;643803.229N 242256.904E;64.6342303893212;24.3824734066726;398;404;Unknown;NIL;NIL;NIL;N;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;2.4.2012 0.00.00 +00:00
EFINOB 31277;Wind turbine;643814.318N 242325.362E;64.637310522;24.39037826;398;412;Unknown;NIL;NIL;NIL;N;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;2.4.2012 0.00.00 +00:00
EFINOB 31332;Mast;604434.382N 265133.016E;60.742883969;26.859171153;329;539;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;25.4.2012 0.00.00 +00:00
EFINOB 31388;Wind turbine;653125.952N 251905.16E;65.523875419;25.318099908;598;686;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;21.7.2014 0.00.00 +00:00
EFINOB 31389;Wind turbine;653144.855N 251844.653E;65.5291263638618;25.31240362897;598;702;R;F;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;21.7.2014 0.00.00 +00:00
EFINOB 31390;Wind turbine;653145.946N 252011.805E;65.5294295225517;25.3366124045808;598;714;R;F;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.7.2014 0.00.00 +00:00
EFINOB 31400;Wind turbine;653127.41N 252050.359E;65.5242806230414;25.3473219607796;598;709;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;21.7.2014 0.00.00 +00:00
EFINOB 31401;Wind turbine;653201.649N 251810.958E;65.53379131;25.303043796;598;711;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;21.7.2014 0.00.00 +00:00
EFINOB 31403;Wind turbine;653210.922N 252042.306E;65.5363672238662;25.345085028923;598;720;R;F;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.7.2014 0.00.00 +00:00
EFINOB 31404;Wind turbine;653241.218N 252142.176E;65.5447827949943;25.3617155558242;598;745;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;20.8.2014 0.00.00 +00:00
EFINOB 31405;Wind turbine;653229.351N 251923.049E;65.541486455;25.323069218;598;730;R;F;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;21.8.2014 0.00.00 +00:00
EFINOB 31407;Wind turbine;653303.162N 251942.183E;65.550878338;25.32838412;598;743;R;F;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;21.8.2014 0.00.00 +00:00
EFINOB 31419;Wind turbine;653325.325N 251644.527E;65.557034592;25.279035254;598;733;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;31.7.2014 0.00.00 +00:00
EFINOB 31420;Wind turbine;653326.068N 252014.393E;65.557241161;25.337331467;598;754;R;F;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;20.8.2014 0.00.00 +00:00
EFINOB 31423;Wind turbine;653336.63N 251838.72E;65.560175092;25.31075543;598;766;R;F;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;21.8.2014 0.00.00 +00:00
EFINOB 31424;Wind turbine;653348.373N 251719.611E;65.5634368646575;25.2887809691675;598;780;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;21.8.2014 0.00.00 +00:00
EFINOB 31425;Wind turbine;653351.756N 252050.194E;65.564376722;25.347276201;598;769;W;FLG;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;21.8.2014 0.00.00 +00:00
EFINOB 31427;Wind turbine;653231.675N 251800.803E;65.542131878;25.300223163;598;727;R;F;NIL;H24;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;21.8.2014 0.00.00 +00:00
EFINOB 31430;Mast;612551.496N 292157.395E;61.430971026;29.365943072;329;684;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;12.7.2012 0.00.00 +00:00
EFINOB 31458;Wind turbine;642041.363N 242401.251E;64.344823044;24.400347366;568;758;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;12.7.2012 0.00.00 +00:00
EFINOB 31459;Wind turbine;642024.381N 242405.717E;64.340105715;24.401588125;575;772;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;13.7.2012 0.00.00 +00:00
EFINOB 31463;Mast;613210.085N 281119.701E;61.536134769;28.188805865;329;738;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;12.7.2012 0.00.00 +00:00
EFINOB 31481;Mast;603447.028N 271151.209E;60.579729937;27.19755792;329;337;R;F;NIL;HN;Y;NIL;NIL;Traficom;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;NIL;POINT;ft/m;NIL;12.6.2012 0.00.00 +00:00
